idcar_200m,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc,geometry,h3_index
CRS3035RES200mN2887600E3756800,1725.0,913.0,81.0,437.0,28.0,495.0,57.0,78231179.1,58597.0,891.0,22.0,217.0,292.0,250.0,154.0,0.0,33.0,69.0,27.0,74.0,101.5,111.5,379.0,336.0,202.0,265.0,160.0,0.0,"POLYGON ((2.300956 48.836036, 2.300678 48.837823, 2.303389 48.838011, 2.303668 48.836223, 2.300956 48.836036))",891fb467627ffff
CRS3035RES200mN2887400E3756800,1927.5,1113.0,120.0,647.0,29.0,263.0,78.0,72134656.5,55762.0,1096.0,17.0,406.0,559.0,28.0,120.0,0.0,2.0,61.0,33.0,81.0,105.5,145.0,525.0,367.0,187.0,283.0,140.0,0.0,"POLYGON ((2.301235 48.834248, 2.300956 48.836036, 2.303668 48.836223, 2.303946 48.834436, 2.301235 48.834248))",891fb467627ffff
CRS3035RES200mN2887400E3756600,1936.5,1169.0,127.0,700.0,19.0,338.0,87.0,71790442.3,56825.0,1163.0,6.0,800.0,199.0,47.0,123.0,0.0,94.0,71.5,30.5,77.5,69.5,110.5,632.0,363.0,215.0,251.0,115.0,1.0,"POLYGON ((2.298523 48.83406, 2.298245 48.835848, 2.300956 48.836036, 2.301235 48.834248, 2.298523 48.83406))",891fb467623ffff
CRS3035RES200mN2887200E3756800,1418.5,724.0,112.0,366.0,41.0,204.0,75.0,45195168.7,38189.0,718.0,6.0,295.0,249.0,180.0,0.0,0.0,303.0,68.0,31.0,62.5,95.5,112.5,297.0,300.0,164.0,182.0,105.0,1.0,"POLYGON ((2.301513 48.83246, 2.301235 48.834248, 2.303946 48.834436, 2.304224 48.832648, 2.301513 48.83246))",891fb46762fffff
CRS3035RES200mN2887000E3756800,1111.0,732.0,124.0,485.0,14.0,274.0,43.0,38012780.6,29790.0,715.0,17.0,533.0,62.0,18.0,119.0,0.0,6.0,28.0,10.0,29.5,41.5,90.0,411.0,203.0,123.0,128.0,47.0,0.0,"POLYGON ((2.301791 48.830672, 2.301513 48.83246, 2.304224 48.832648, 2.304503 48.83086, 2.301791 48.830672))",891fb467297ffff
CRS3035RES200mN2887000E3756600,10.0,6.6,0.7,4.4,0.0,3.0,0.0,338811.6,299.9,6.5,0.1,5.6,0.0,0.1,0.9,0.0,0.0,0.3,0.2,0.0,0.2,0.9,4.0,1.5,1.1,1.3,0.5,0.0,"POLYGON ((2.29908 48.830485, 2.298802 48.832272, 2.301513 48.83246, 2.301791 48.830672, 2.29908 48.830485))",891fb467293ffff
CRS3035RES200mN2887200E3756600,1156.0,676.0,75.0,382.0,14.0,317.0,41.0,44021658.0,35201.0,675.0,1.0,189.0,486.0,1.0,0.0,0.0,17.0,47.5,19.0,48.0,49.0,62.5,330.0,221.0,140.0,162.0,77.0,0.0,"POLYGON ((2.298802 48.832272, 2.298523 48.83406, 2.301235 48.834248, 2.301513 48.83246, 2.298802 48.832272))",891fb46762fffff
CRS3035RES200mN2887000E3756400,158.0,104.4,11.3,69.6,0.0,47.0,0.0,5353222.8,4739.1,102.5,1.9,89.4,0.0,0.9,14.1,0.0,0.0,4.7,2.8,0.0,3.8,14.1,63.0,24.5,16.9,20.7,7.5,0.0,"POLYGON ((2.296369 48.830297, 2.296091 48.832085, 2.298802 48.832272, 2.29908 48.830485, 2.296369 48.830297))",891fb467293ffff
CRS3035RES200mN2887200E3756400,1588.0,759.0,106.0,361.0,50.0,243.0,75.0,52750340.8,43522.0,750.0,9.0,455.0,51.0,132.0,121.0,0.0,225.0,60.0,37.5,76.5,141.5,127.5,337.0,347.0,193.0,199.0,68.0,1.0,"POLYGON ((2.296091 48.832085, 2.295812 48.833872, 2.298523 48.83406, 2.298802 48.832272, 2.296091 48.832085))",891fb46762bffff
CRS3035RES200mN2887400E3756400,1646.5,820.0,87.0,408.0,48.0,226.0,94.0,54573626.5,43814.0,817.0,3.0,341.0,69.0,119.0,291.0,0.0,353.0,65.0,42.0,104.0,122.5,123.0,439.0,327.0,189.0,160.0,75.0,0.0,"POLYGON ((2.295812 48.833872, 2.295533 48.83566, 2.298245 48.835848, 2.298523 48.83406, 2.295812 48.833872))",891fb46762bffff
